2026-06-06 10:59:02,552 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:59:24,138 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 10:59:46,130 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:00:07,818 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:00:29,324 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:00:50,420 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:01:12,442 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:01:33,853 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:01:55,206 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:02:19,732 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:02:44,927 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:03:06,143 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:03:27,472 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:03:48,774 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:04:09,843 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
2026-06-06 11:04:30,888 - WARNING - CRITICAL THREAT | WMIRegistrationService.exe | PID 6360 | Score 90.0
